$ npm run test:coverage
# exitCode=0 durationMs=183415


> cvg-agent-secretary-v2@1.0.0 test:coverage
> vitest run --coverage --no-file-parallelism --maxWorkers=2


 RUN  v4.1.5 /home/ricardo/cvg-agent-secretary-v2
      Coverage enabled with v8


 Test Files  152 passed | 3 skipped (155)
      Tests  657 passed | 25 skipped (682)
   Start at  13:50:59
   Duration  182.89s (transform 2.11s, setup 0ms, import 29.48s, tests 20.84s, environment 99.54s)

 % Coverage report from v8
-------------------|---------|----------|---------|---------|-------------------
File               | % Stmts | % Branch | % Funcs | % Lines | Uncovered Line #s 
-------------------|---------|----------|---------|---------|-------------------
  ...urney-task.ts |   83.33 |    66.66 |     100 |     100 | 11-13             
  ...wner-draft.ts |   83.33 |    83.33 |     100 |   83.33 | 24                
  ...ient-draft.ts |     100 |    83.33 |     100 |     100 | 13                
  ...able-slots.ts |      80 |      100 |     100 |      80 | 15                
  link-patient.ts  |   83.33 |    66.66 |     100 |     100 | 11-13             
  ...ey-handoff.ts |   85.71 |    66.66 |     100 |     100 | 11-13             
  ...r-by-phone.ts |    87.5 |      100 |     100 |   85.71 | 28                
  ...ch-patient.ts |   83.33 |    83.33 |     100 |   83.33 | 24                
 ...s/src/journeys |   94.73 |    67.85 |     100 |   94.73 |                   
  ...y-workflow.ts |   94.73 |    67.85 |     100 |   94.73 | 82                
-------------------|---------|----------|---------|---------|-------------------

=============================== Coverage summary ===============================
Statements   : 85.51% ( 4996/5842 )
Branches     : 81.02% ( 3664/4522 )
Functions    : 91.1% ( 1055/1158 )
Lines        : 86.41% ( 4788/5541 )
================================================================================

